,vertex,moves,neighbors
0,"[['u7', 'u4', 'u1', 'u8', 'u5', 'u2', 'u9', 'u6', 'u3'], ['f1', 'f2', 'f3', 'l4', 'l5', 'l6', 'l7', 'l8', 'l9'], ['r1', 'r2', 'r3', 'f4', 'f5', 'f6', 'f7', 'f8', 'f9'], ['b1', 'b2', 'b3', 'r4', 'r5', 'r6', 'r7', 'r8', 'r9'], ['l1', 'l2', 'l3', 'b4', 'b5', 'b6', 'b7', 'b8', 'b9'], ['d1', 'd2', 'd3', 'd4', 'd5', 'd6', 'd7', 'd8', 'd9']]",['u'],"[['u7', 'u4', 'u1', 'u8', 'u5', 'u2', 'u9', 'u6', 'u3'], ['f1', 'f2', 'f3', 'l4', 'l5', 'l6', 'l7', 'l8', 'l9'], ['r1', 'r2', 'r3', 'f4', 'f5', 'f6', 'f7', 'f8', 'f9'], ['b1', 'b2', 'b3', 'r4', 'r5', 'r6', 'r7', 'r8', 'r9'], ['l1', 'l2', 'l3', 'b4', 'b5', 'b6', 'b7', 'b8', 'b9'], ['d1', 'd2', 'd3', 'd4', 'd5', 'd6', 'd7', 'd8', 'd9']]"
1,"[['b9', 'u2', 'u3', 'b6', 'u5', 'u6', 'b3', 'u8', 'u9'], ['l7', 'l4', 'l1', 'l8', 'l5', 'l2', 'l9', 'l6', 'l3'], ['u1', 'f2', 'f3', 'u4', 'f5', 'f6', 'u7', 'f8', 'f9'], ['r1', 'r2', 'r3', 'r4', 'r5', 'r6', 'r7', 'r8', 'r9'], ['b1', 'b2', 'd7', 'b4', 'b5', 'd4', 'b7', 'b8', 'd1'], ['f1', 'd2', 'd3', 'f4', 'd5', 'd6', 'f7', 'd8', 'd9']]",['l'],"[['b9', 'u2', 'u3', 'b6', 'u5', 'u6', 'b3', 'u8', 'u9'], ['l7', 'l4', 'l1', 'l8', 'l5', 'l2', 'l9', 'l6', 'l3'], ['u1', 'f2', 'f3', 'u4', 'f5', 'f6', 'u7', 'f8', 'f9'], ['r1', 'r2', 'r3', 'r4', 'r5', 'r6', 'r7', 'r8', 'r9'], ['b1', 'b2', 'd7', 'b4', 'b5', 'd4', 'b7', 'b8', 'd1'], ['f1', 'd2', 'd3', 'f4', 'd5', 'd6', 'f7', 'd8', 'd9']]"
2,"[['u1', 'u2', 'u3', 'u4', 'u5', 'u6', 'l9', 'l6', 'l3'], ['l1', 'l2', 'd1', 'l4', 'l5', 'd2', 'l7', 'l8', 'd3'], ['f7', 'f4', 'f1', 'f8', 'f5', 'f2', 'f9', 'f6', 'f3'], ['u7', 'r2', 'r3', 'u8', 'r5', 'r6', 'u9', 'r8', 'r9'], ['b1', 'b2', 'b3', 'b4', 'b5', 'b6', 'b7', 'b8', 'b9'], ['r7', 'r4', 'r1', 'd4', 'd5', 'd6', 'd7', 'd8', 'd9']]",['f'],"[['u1', 'u2', 'u3', 'u4', 'u5', 'u6', 'l9', 'l6', 'l3'], ['l1', 'l2', 'd1', 'l4', 'l5', 'd2', 'l7', 'l8', 'd3'], ['f7', 'f4', 'f1', 'f8', 'f5', 'f2', 'f9', 'f6', 'f3'], ['u7', 'r2', 'r3', 'u8', 'r5', 'r6', 'u9', 'r8', 'r9'], ['b1', 'b2', 'b3', 'b4', 'b5', 'b6', 'b7', 'b8', 'b9'], ['r7', 'r4', 'r1', 'd4', 'd5', 'd6', 'd7', 'd8', 'd9']]"
3,"[['u1', 'u2', 'f3', 'u4', 'u5', 'f6', 'u7', 'u8', 'f9'], ['l1', 'l2', 'l3', 'l4', 'l5', 'l6', 'l7', 'l8', 'l9'], ['f1', 'f2', 'd3', 'f4', 'f5', 'd6', 'f7', 'f8', 'd9'], ['r7', 'r4', 'r1', 'r8', 'r5', 'r2', 'r9', 'r6', 'r3'], ['u9', 'b2', 'b3', 'u6', 'b5', 'b6', 'u3', 'b8', 'b9'], ['d1', 'd2', 'b7', 'd4', 'd5', 'b4', 'd7', 'd8', 'b1']]",['r'],"[['u1', 'u2', 'f3', 'u4', 'u5', 'f6', 'u7', 'u8', 'f9'], ['l1', 'l2', 'l3', 'l4', 'l5', 'l6', 'l7', 'l8', 'l9'], ['f1', 'f2', 'd3', 'f4', 'f5', 'd6', 'f7', 'f8', 'd9'], ['r7', 'r4', 'r1', 'r8', 'r5', 'r2', 'r9', 'r6', 'r3'], ['u9', 'b2', 'b3', 'u6', 'b5', 'b6', 'u3', 'b8', 'b9'], ['d1', 'd2', 'b7', 'd4', 'd5', 'b4', 'd7', 'd8', 'b1']]"
4,"[['r3', 'r6', 'r9', 'u4', 'u5', 'u6', 'u7', 'u8', 'u9'], ['u3', 'l2', 'l3', 'u2', 'l5', 'l6', 'u1', 'l8', 'l9'], ['f1', 'f2', 'f3', 'f4', 'f5', 'f6', 'f7', 'f8', 'f9'], ['r1', 'r2', 'd9', 'r4', 'r5', 'd8', 'r7', 'r8', 'd7'], ['b7', 'b4', 'b1', 'b8', 'b5', 'b2', 'b9', 'b6', 'b3'], ['d1', 'd2', 'd3', 'd4', 'd5', 'd6', 'l1', 'l4', 'l7']]",['b'],"[['r3', 'r6', 'r9', 'u4', 'u5', 'u6', 'u7', 'u8', 'u9'], ['u3', 'l2', 'l3', 'u2', 'l5', 'l6', 'u1', 'l8', 'l9'], ['f1', 'f2', 'f3', 'f4', 'f5', 'f6', 'f7', 'f8', 'f9'], ['r1', 'r2', 'd9', 'r4', 'r5', 'd8', 'r7', 'r8', 'd7'], ['b7', 'b4', 'b1', 'b8', 'b5', 'b2', 'b9', 'b6', 'b3'], ['d1', 'd2', 'd3', 'd4', 'd5', 'd6', 'l1', 'l4', 'l7']]"
5,"[['u1', 'u2', 'u3', 'u4', 'u5', 'u6', 'u7', 'u8', 'u9'], ['l1', 'l2', 'l3', 'l4', 'l5', 'l6', 'b7', 'b8', 'b9'], ['f1', 'f2', 'f3', 'f4', 'f5', 'f6', 'l7', 'l8', 'l9'], ['r1', 'r2', 'r3', 'r4', 'r5', 'r6', 'f7', 'f8', 'f9'], ['b1', 'b2', 'b3', 'b4', 'b5', 'b6', 'r7', 'r8', 'r9'], ['d7', 'd4', 'd1', 'd8', 'd5', 'd2', 'd9', 'd6', 'd3']]",['d'],"[['u1', 'u2', 'u3', 'u4', 'u5', 'u6', 'u7', 'u8', 'u9'], ['l1', 'l2', 'l3', 'l4', 'l5', 'l6', 'b7', 'b8', 'b9'], ['f1', 'f2', 'f3', 'f4', 'f5', 'f6', 'l7', 'l8', 'l9'], ['r1', 'r2', 'r3', 'r4', 'r5', 'r6', 'f7', 'f8', 'f9'], ['b1', 'b2', 'b3', 'b4', 'b5', 'b6', 'r7', 'r8', 'r9'], ['d7', 'd4', 'd1', 'd8', 'd5', 'd2', 'd9', 'd6', 'd3']]"
6,"[['u3', 'u6', 'u9', 'u2', 'u5', 'u8', 'u1', 'u4', 'u7'], ['b1', 'b2', 'b3', 'l4', 'l5', 'l6', 'l7', 'l8', 'l9'], ['l1', 'l2', 'l3', 'f4', 'f5', 'f6', 'f7', 'f8', 'f9'], ['f1', 'f2', 'f3', 'r4', 'r5', 'r6', 'r7', 'r8', 'r9'], ['r1', 'r2', 'r3', 'b4', 'b5', 'b6', 'b7', 'b8', 'b9'], ['d1', 'd2', 'd3', 'd4', 'd5', 'd6', 'd7', 'd8', 'd9']]",['up'],"[['u3', 'u6', 'u9', 'u2', 'u5', 'u8', 'u1', 'u4', 'u7'], ['b1', 'b2', 'b3', 'l4', 'l5', 'l6', 'l7', 'l8', 'l9'], ['l1', 'l2', 'l3', 'f4', 'f5', 'f6', 'f7', 'f8', 'f9'], ['f1', 'f2', 'f3', 'r4', 'r5', 'r6', 'r7', 'r8', 'r9'], ['r1', 'r2', 'r3', 'b4', 'b5', 'b6', 'b7', 'b8', 'b9'], ['d1', 'd2', 'd3', 'd4', 'd5', 'd6', 'd7', 'd8', 'd9']]"
7,"[['f1', 'u2', 'u3', 'f4', 'u5', 'u6', 'f7', 'u8', 'u9'], ['l3', 'l6', 'l9', 'l2', 'l5', 'l8', 'l1', 'l4', 'l7'], ['d1', 'f2', 'f3', 'd4', 'f5', 'f6', 'd7', 'f8', 'f9'], ['r1', 'r2', 'r3', 'r4', 'r5', 'r6', 'r7', 'r8', 'r9'], ['b1', 'b2', 'u7', 'b4', 'b5', 'u4', 'b7', 'b8', 'u1'], ['b9', 'd2', 'd3', 'b6', 'd5', 'd6', 'b3', 'd8', 'd9']]",['lp'],"[['f1', 'u2', 'u3', 'f4', 'u5', 'u6', 'f7', 'u8', 'u9'], ['l3', 'l6', 'l9', 'l2', 'l5', 'l8', 'l1', 'l4', 'l7'], ['d1', 'f2', 'f3', 'd4', 'f5', 'f6', 'd7', 'f8', 'f9'], ['r1', 'r2', 'r3', 'r4', 'r5', 'r6', 'r7', 'r8', 'r9'], ['b1', 'b2', 'u7', 'b4', 'b5', 'u4', 'b7', 'b8', 'u1'], ['b9', 'd2', 'd3', 'b6', 'd5', 'd6', 'b3', 'd8', 'd9']]"
8,"[['u1', 'u2', 'u3', 'u4', 'u5', 'u6', 'r1', 'r4', 'r7'], ['l1', 'l2', 'u9', 'l4', 'l5', 'u8', 'l7', 'l8', 'u7'], ['f3', 'f6', 'f9', 'f2', 'f5', 'f8', 'f1', 'f4', 'f7'], ['d3', 'r2', 'r3', 'd2', 'r5', 'r6', 'd1', 'r8', 'r9'], ['b1', 'b2', 'b3', 'b4', 'b5', 'b6', 'b7', 'b8', 'b9'], ['l3', 'l6', 'l9', 'd4', 'd5', 'd6', 'd7', 'd8', 'd9']]",['fp'],"[['u1', 'u2', 'u3', 'u4', 'u5', 'u6', 'r1', 'r4', 'r7'], ['l1', 'l2', 'u9', 'l4', 'l5', 'u8', 'l7', 'l8', 'u7'], ['f3', 'f6', 'f9', 'f2', 'f5', 'f8', 'f1', 'f4', 'f7'], ['d3', 'r2', 'r3', 'd2', 'r5', 'r6', 'd1', 'r8', 'r9'], ['b1', 'b2', 'b3', 'b4', 'b5', 'b6', 'b7', 'b8', 'b9'], ['l3', 'l6', 'l9', 'd4', 'd5', 'd6', 'd7', 'd8', 'd9']]"
9,"[['u1', 'u2', 'b7', 'u4', 'u5', 'b4', 'u7', 'u8', 'b1'], ['l1', 'l2', 'l3', 'l4', 'l5', 'l6', 'l7', 'l8', 'l9'], ['f1', 'f2', 'u3', 'f4', 'f5', 'u6', 'f7', 'f8', 'u9'], ['r3', 'r6', 'r9', 'r2', 'r5', 'r8', 'r1', 'r4', 'r7'], ['d9', 'b2', 'b3', 'd6', 'b5', 'b6', 'd3', 'b8', 'b9'], ['d1', 'd2', 'f3', 'd4', 'd5', 'f6', 'd7', 'd8', 'f9']]",['rp'],"[['u1', 'u2', 'b7', 'u4', 'u5', 'b4', 'u7', 'u8', 'b1'], ['l1', 'l2', 'l3', 'l4', 'l5', 'l6', 'l7', 'l8', 'l9'], ['f1', 'f2', 'u3', 'f4', 'f5', 'u6', 'f7', 'f8', 'u9'], ['r3', 'r6', 'r9', 'r2', 'r5', 'r8', 'r1', 'r4', 'r7'], ['d9', 'b2', 'b3', 'd6', 'b5', 'b6', 'd3', 'b8', 'b9'], ['d1', 'd2', 'f3', 'd4', 'd5', 'f6', 'd7', 'd8', 'f9']]"
10,"[['l7', 'l4', 'l1', 'u4', 'u5', 'u6', 'u7', 'u8', 'u9'], ['d7', 'l2', 'l3', 'd8', 'l5', 'l6', 'd9', 'l8', 'l9'], ['f1', 'f2', 'f3', 'f4', 'f5', 'f6', 'f7', 'f8', 'f9'], ['r1', 'r2', 'u1', 'r4', 'r5', 'u2', 'r7', 'r8', 'u3'], ['b3', 'b6', 'b9', 'b2', 'b5', 'b8', 'b1', 'b4', 'b7'], ['d1', 'd2', 'd3', 'd4', 'd5', 'd6', 'r9', 'r6', 'r3']]",['bp'],"[['l7', 'l4', 'l1', 'u4', 'u5', 'u6', 'u7', 'u8', 'u9'], ['d7', 'l2', 'l3', 'd8', 'l5', 'l6', 'd9', 'l8', 'l9'], ['f1', 'f2', 'f3', 'f4', 'f5', 'f6', 'f7', 'f8', 'f9'], ['r1', 'r2', 'u1', 'r4', 'r5', 'u2', 'r7', 'r8', 'u3'], ['b3', 'b6', 'b9', 'b2', 'b5', 'b8', 'b1', 'b4', 'b7'], ['d1', 'd2', 'd3', 'd4', 'd5', 'd6', 'r9', 'r6', 'r3']]"
11,"[['u1', 'u2', 'u3', 'u4', 'u5', 'u6', 'u7', 'u8', 'u9'], ['l1', 'l2', 'l3', 'l4', 'l5', 'l6', 'f7', 'f8', 'f9'], ['f1', 'f2', 'f3', 'f4', 'f5', 'f6', 'r7', 'r8', 'r9'], ['r1', 'r2', 'r3', 'r4', 'r5', 'r6', 'b7', 'b8', 'b9'], ['b1', 'b2', 'b3', 'b4', 'b5', 'b6', 'l7', 'l8', 'l9'], ['d3', 'd6', 'd9', 'd2', 'd5', 'd8', 'd1', 'd4', 'd7']]",['dp'],"[['u1', 'u2', 'u3', 'u4', 'u5', 'u6', 'u7', 'u8', 'u9'], ['l1', 'l2', 'l3', 'l4', 'l5', 'l6', 'f7', 'f8', 'f9'], ['f1', 'f2', 'f3', 'f4', 'f5', 'f6', 'r7', 'r8', 'r9'], ['r1', 'r2', 'r3', 'r4', 'r5', 'r6', 'b7', 'b8', 'b9'], ['b1', 'b2', 'b3', 'b4', 'b5', 'b6', 'l7', 'l8', 'l9'], ['d3', 'd6', 'd9', 'd2', 'd5', 'd8', 'd1', 'd4', 'd7']]"
12,"[['u9', 'u8', 'u7', 'u6', 'u5', 'u4', 'u3', 'u2', 'u1'], ['r1', 'r2', 'r3', 'l4', 'l5', 'l6', 'l7', 'l8', 'l9'], ['b1', 'b2', 'b3', 'f4', 'f5', 'f6', 'f7', 'f8', 'f9'], ['l1', 'l2', 'l3', 'r4', 'r5', 'r6', 'r7', 'r8', 'r9'], ['f1', 'f2', 'f3', 'b4', 'b5', 'b6', 'b7', 'b8', 'b9'], ['d1', 'd2', 'd3', 'd4', 'd5', 'd6', 'd7', 'd8', 'd9']]","['u', 'u']","[['u9', 'u8', 'u7', 'u6', 'u5', 'u4', 'u3', 'u2', 'u1'], ['r1', 'r2', 'r3', 'l4', 'l5', 'l6', 'l7', 'l8', 'l9'], ['b1', 'b2', 'b3', 'f4', 'f5', 'f6', 'f7', 'f8', 'f9'], ['l1', 'l2', 'l3', 'r4', 'r5', 'r6', 'r7', 'r8', 'r9'], ['f1', 'f2', 'f3', 'b4', 'b5', 'b6', 'b7', 'b8', 'b9'], ['d1', 'd2', 'd3', 'd4', 'd5', 'd6', 'd7', 'd8', 'd9']]"
13,"[['b9', 'u4', 'u1', 'b6', 'u5', 'u2', 'l3', 'u6', 'u3'], ['l7', 'l4', 'f1', 'l8', 'l5', 'f2', 'l9', 'l6', 'f3'], ['u7', 'r2', 'r3', 'u8', 'f5', 'f6', 'u9', 'f8', 'f9'], ['b1', 'b2', 'b3', 'r4', 'r5', 'r6', 'r7', 'r8', 'r9'], ['l1', 'l2', 'd7', 'b4', 'b5', 'd4', 'b7', 'b8', 'd1'], ['r1', 'd2', 'd3', 'f4', 'd5', 'd6', 'f7', 'd8', 'd9']]","['u', 'l']","[['b9', 'u4', 'u1', 'b6', 'u5', 'u2', 'l3', 'u6', 'u3'], ['l7', 'l4', 'f1', 'l8', 'l5', 'f2', 'l9', 'l6', 'f3'], ['u7', 'r2', 'r3', 'u8', 'f5', 'f6', 'u9', 'f8', 'f9'], ['b1', 'b2', 'b3', 'r4', 'r5', 'r6', 'r7', 'r8', 'r9'], ['l1', 'l2', 'd7', 'b4', 'b5', 'd4', 'b7', 'b8', 'd1'], ['r1', 'd2', 'd3', 'f4', 'd5', 'd6', 'f7', 'd8', 'd9']]"
14,"[['u7', 'u4', 'u1', 'u8', 'u5', 'u2', 'l9', 'l6', 'f3'], ['f1', 'f2', 'd1', 'l4', 'l5', 'd2', 'l7', 'l8', 'd3'], ['f7', 'f4', 'r1', 'f8', 'f5', 'r2', 'f9', 'f6', 'r3'], ['u9', 'b2', 'b3', 'u6', 'r5', 'r6', 'u3', 'r8', 'r9'], ['l1', 'l2', 'l3', 'b4', 'b5', 'b6', 'b7', 'b8', 'b9'], ['r7', 'r4', 'b1', 'd4', 'd5', 'd6', 'd7', 'd8', 'd9']]","['u', 'f']","[['u7', 'u4', 'u1', 'u8', 'u5', 'u2', 'l9', 'l6', 'f3'], ['f1', 'f2', 'd1', 'l4', 'l5', 'd2', 'l7', 'l8', 'd3'], ['f7', 'f4', 'r1', 'f8', 'f5', 'r2', 'f9', 'f6', 'r3'], ['u9', 'b2', 'b3', 'u6', 'r5', 'r6', 'u3', 'r8', 'r9'], ['l1', 'l2', 'l3', 'b4', 'b5', 'b6', 'b7', 'b8', 'b9'], ['r7', 'r4', 'b1', 'd4', 'd5', 'd6', 'd7', 'd8', 'd9']]"
15,"[['u7', 'u4', 'r3', 'u8', 'u5', 'f6', 'u9', 'u6', 'f9'], ['f1', 'f2', 'f3', 'l4', 'l5', 'l6', 'l7', 'l8', 'l9'], ['r1', 'r2', 'd3', 'f4', 'f5', 'd6', 'f7', 'f8', 'd9'], ['r7', 'r4', 'b1', 'r8', 'r5', 'b2', 'r9', 'r6', 'b3'], ['u3', 'l2', 'l3', 'u2', 'b5', 'b6', 'u1', 'b8', 'b9'], ['d1', 'd2', 'b7', 'd4', 'd5', 'b4', 'd7', 'd8', 'l1']]","['u', 'r']","[['u7', 'u4', 'r3', 'u8', 'u5', 'f6', 'u9', 'u6', 'f9'], ['f1', 'f2', 'f3', 'l4', 'l5', 'l6', 'l7', 'l8', 'l9'], ['r1', 'r2', 'd3', 'f4', 'f5', 'd6', 'f7', 'f8', 'd9'], ['r7', 'r4', 'b1', 'r8', 'r5', 'b2', 'r9', 'r6', 'b3'], ['u3', 'l2', 'l3', 'u2', 'b5', 'b6', 'u1', 'b8', 'b9'], ['d1', 'd2', 'b7', 'd4', 'd5', 'b4', 'd7', 'd8', 'l1']]"
16,"[['b3', 'r6', 'r9', 'u8', 'u5', 'u2', 'u9', 'u6', 'u3'], ['u1', 'f2', 'f3', 'u4', 'l5', 'l6', 'u7', 'l8', 'l9'], ['r1', 'r2', 'r3', 'f4', 'f5', 'f6', 'f7', 'f8', 'f9'], ['b1', 'b2', 'd9', 'r4', 'r5', 'd8', 'r7', 'r8', 'd7'], ['b7', 'b4', 'l1', 'b8', 'b5', 'l2', 'b9', 'b6', 'l3'], ['d1', 'd2', 'd3', 'd4', 'd5', 'd6', 'f1', 'l4', 'l7']]","['u', 'b']","[['b3', 'r6', 'r9', 'u8', 'u5', 'u2', 'u9', 'u6', 'u3'], ['u1', 'f2', 'f3', 'u4', 'l5', 'l6', 'u7', 'l8', 'l9'], ['r1', 'r2', 'r3', 'f4', 'f5', 'f6', 'f7', 'f8', 'f9'], ['b1', 'b2', 'd9', 'r4', 'r5', 'd8', 'r7', 'r8', 'd7'], ['b7', 'b4', 'l1', 'b8', 'b5', 'l2', 'b9', 'b6', 'l3'], ['d1', 'd2', 'd3', 'd4', 'd5', 'd6', 'f1', 'l4', 'l7']]"
17,"[['u7', 'u4', 'u1', 'u8', 'u5', 'u2', 'u9', 'u6', 'u3'], ['f1', 'f2', 'f3', 'l4', 'l5', 'l6', 'b7', 'b8', 'b9'], ['r1', 'r2', 'r3', 'f4', 'f5', 'f6', 'l7', 'l8', 'l9'], ['b1', 'b2', 'b3', 'r4', 'r5', 'r6', 'f7', 'f8', 'f9'], ['l1', 'l2', 'l3', 'b4', 'b5', 'b6', 'r7', 'r8', 'r9'], ['d7', 'd4', 'd1', 'd8', 'd5', 'd2', 'd9', 'd6', 'd3']]","['u', 'd']","[['u7', 'u4', 'u1', 'u8', 'u5', 'u2', 'u9', 'u6', 'u3'], ['f1', 'f2', 'f3', 'l4', 'l5', 'l6', 'b7', 'b8', 'b9'], ['r1', 'r2', 'r3', 'f4', 'f5', 'f6', 'l7', 'l8', 'l9'], ['b1', 'b2', 'b3', 'r4', 'r5', 'r6', 'f7', 'f8', 'f9'], ['l1', 'l2', 'l3', 'b4', 'b5', 'b6', 'r7', 'r8', 'r9'], ['d7', 'd4', 'd1', 'd8', 'd5', 'd2', 'd9', 'd6', 'd3']]"
18,"[['u1', 'u2', 'u3', 'u4', 'u5', 'u6', 'u7', 'u8', 'u9'], ['l1', 'l2', 'l3', 'l4', 'l5', 'l6', 'l7', 'l8', 'l9'], ['f1', 'f2', 'f3', 'f4', 'f5', 'f6', 'f7', 'f8', 'f9'], ['r1', 'r2', 'r3', 'r4', 'r5', 'r6', 'r7', 'r8', 'r9'], ['b1', 'b2', 'b3', 'b4', 'b5', 'b6', 'b7', 'b8', 'b9'], ['d1', 'd2', 'd3', 'd4', 'd5', 'd6', 'd7', 'd8', 'd9']]","['u', 'up']","[['u1', 'u2', 'u3', 'u4', 'u5', 'u6', 'u7', 'u8', 'u9'], ['l1', 'l2', 'l3', 'l4', 'l5', 'l6', 'l7', 'l8', 'l9'], ['f1', 'f2', 'f3', 'f4', 'f5', 'f6', 'f7', 'f8', 'f9'], ['r1', 'r2', 'r3', 'r4', 'r5', 'r6', 'r7', 'r8', 'r9'], ['b1', 'b2', 'b3', 'b4', 'b5', 'b6', 'b7', 'b8', 'b9'], ['d1', 'd2', 'd3', 'd4', 'd5', 'd6', 'd7', 'd8', 'd9']]"
19,"[['r1', 'u4', 'u1', 'f4', 'u5', 'u2', 'f7', 'u6', 'u3'], ['f3', 'l6', 'l9', 'f2', 'l5', 'l8', 'f1', 'l4', 'l7'], ['d1', 'r2', 'r3', 'd4', 'f5', 'f6', 'd7', 'f8', 'f9'], ['b1', 'b2', 'b3', 'r4', 'r5', 'r6', 'r7', 'r8', 'r9'], ['l1', 'l2', 'u9', 'b4', 'b5', 'u8', 'b7', 'b8', 'u7'], ['b9', 'd2', 'd3', 'b6', 'd5', 'd6', 'l3', 'd8', 'd9']]","['u', 'lp']","[['r1', 'u4', 'u1', 'f4', 'u5', 'u2', 'f7', 'u6', 'u3'], ['f3', 'l6', 'l9', 'f2', 'l5', 'l8', 'f1', 'l4', 'l7'], ['d1', 'r2', 'r3', 'd4', 'f5', 'f6', 'd7', 'f8', 'f9'], ['b1', 'b2', 'b3', 'r4', 'r5', 'r6', 'r7', 'r8', 'r9'], ['l1', 'l2', 'u9', 'b4', 'b5', 'u8', 'b7', 'b8', 'u7'], ['b9', 'd2', 'd3', 'b6', 'd5', 'd6', 'l3', 'd8', 'd9']]"
20,"[['u7', 'u4', 'u1', 'u8', 'u5', 'u2', 'b1', 'r4', 'r7'], ['f1', 'f2', 'u3', 'l4', 'l5', 'u6', 'l7', 'l8', 'u9'], ['r3', 'f6', 'f9', 'r2', 'f5', 'f8', 'r1', 'f4', 'f7'], ['d3', 'b2', 'b3', 'd2', 'r5', 'r6', 'd1', 'r8', 'r9'], ['l1', 'l2', 'l3', 'b4', 'b5', 'b6', 'b7', 'b8', 'b9'], ['f3', 'l6', 'l9', 'd4', 'd5', 'd6', 'd7', 'd8', 'd9']]","['u', 'fp']","[['u7', 'u4', 'u1', 'u8', 'u5', 'u2', 'b1', 'r4', 'r7'], ['f1', 'f2', 'u3', 'l4', 'l5', 'u6', 'l7', 'l8', 'u9'], ['r3', 'f6', 'f9', 'r2', 'f5', 'f8', 'r1', 'f4', 'f7'], ['d3', 'b2', 'b3', 'd2', 'r5', 'r6', 'd1', 'r8', 'r9'], ['l1', 'l2', 'l3', 'b4', 'b5', 'b6', 'b7', 'b8', 'b9'], ['f3', 'l6', 'l9', 'd4', 'd5', 'd6', 'd7', 'd8', 'd9']]"
21,"[['u7', 'u4', 'b7', 'u8', 'u5', 'b4', 'u9', 'u6', 'l1'], ['f1', 'f2', 'f3', 'l4', 'l5', 'l6', 'l7', 'l8', 'l9'], ['r1', 'r2', 'u1', 'f4', 'f5', 'u2', 'f7', 'f8', 'u3'], ['b3', 'r6', 'r9', 'b2', 'r5', 'r8', 'b1', 'r4', 'r7'], ['d9', 'l2', 'l3', 'd6', 'b5', 'b6', 'd3', 'b8', 'b9'], ['d1', 'd2', 'r3', 'd4', 'd5', 'f6', 'd7', 'd8', 'f9']]","['u', 'rp']","[['u7', 'u4', 'b7', 'u8', 'u5', 'b4', 'u9', 'u6', 'l1'], ['f1', 'f2', 'f3', 'l4', 'l5', 'l6', 'l7', 'l8', 'l9'], ['r1', 'r2', 'u1', 'f4', 'f5', 'u2', 'f7', 'f8', 'u3'], ['b3', 'r6', 'r9', 'b2', 'r5', 'r8', 'b1', 'r4', 'r7'], ['d9', 'l2', 'l3', 'd6', 'b5', 'b6', 'd3', 'b8', 'b9'], ['d1', 'd2', 'r3', 'd4', 'd5', 'f6', 'd7', 'd8', 'f9']]"
22,"[['l7', 'l4', 'f1', 'u8', 'u5', 'u2', 'u9', 'u6', 'u3'], ['d7', 'f2', 'f3', 'd8', 'l5', 'l6', 'd9', 'l8', 'l9'], ['r1', 'r2', 'r3', 'f4', 'f5', 'f6', 'f7', 'f8', 'f9'], ['b1', 'b2', 'u7', 'r4', 'r5', 'u4', 'r7', 'r8', 'u1'], ['l3', 'b6', 'b9', 'l2', 'b5', 'b8', 'l1', 'b4', 'b7'], ['d1', 'd2', 'd3', 'd4', 'd5', 'd6', 'r9', 'r6', 'b3']]","['u', 'bp']","[['l7', 'l4', 'f1', 'u8', 'u5', 'u2', 'u9', 'u6', 'u3'], ['d7', 'f2', 'f3', 'd8', 'l5', 'l6', 'd9', 'l8', 'l9'], ['r1', 'r2', 'r3', 'f4', 'f5', 'f6', 'f7', 'f8', 'f9'], ['b1', 'b2', 'u7', 'r4', 'r5', 'u4', 'r7', 'r8', 'u1'], ['l3', 'b6', 'b9', 'l2', 'b5', 'b8', 'l1', 'b4', 'b7'], ['d1', 'd2', 'd3', 'd4', 'd5', 'd6', 'r9', 'r6', 'b3']]"
23,"[['u7', 'u4', 'u1', 'u8', 'u5', 'u2', 'u9', 'u6', 'u3'], ['f1', 'f2', 'f3', 'l4', 'l5', 'l6', 'f7', 'f8', 'f9'], ['r1', 'r2', 'r3', 'f4', 'f5', 'f6', 'r7', 'r8', 'r9'], ['b1', 'b2', 'b3', 'r4', 'r5', 'r6', 'b7', 'b8', 'b9'], ['l1', 'l2', 'l3', 'b4', 'b5', 'b6', 'l7', 'l8', 'l9'], ['d3', 'd6', 'd9', 'd2', 'd5', 'd8', 'd1', 'd4', 'd7']]","['u', 'dp']","[['u7', 'u4', 'u1', 'u8', 'u5', 'u2', 'u9', 'u6', 'u3'], ['f1', 'f2', 'f3', 'l4', 'l5', 'l6', 'f7', 'f8', 'f9'], ['r1', 'r2', 'r3', 'f4', 'f5', 'f6', 'r7', 'r8', 'r9'], ['b1', 'b2', 'b3', 'r4', 'r5', 'r6', 'b7', 'b8', 'b9'], ['l1', 'l2', 'l3', 'b4', 'b5', 'b6', 'l7', 'l8', 'l9'], ['d3', 'd6', 'd9', 'd2', 'd5', 'd8', 'd1', 'd4', 'd7']]"
