,vertex,moves,neighbors
1844,"[['u1', 'u2', 'u3', 'u4', 'u5', 'u6', 'd9', 'd6', 'd3'], ['l1', 'l2', 'b7', 'l4', 'l5', 'r4', 'f7', 'f8', 'r1'], ['r9', 'r8', 'r7', 'f6', 'f5', 'f4', 'f3', 'f2', 'f1'], ['f9', 'r2', 'r3', 'l6', 'r5', 'r6', 'l3', 'b8', 'b9'], ['b1', 'b2', 'b3', 'b4', 'b5', 'b6', 'l7', 'l8', 'l9'], ['u9', 'u8', 'u7', 'd2', 'd5', 'd8', 'd1', 'd4', 'd7']]","['dp', 'fp', 'fp']","[['u1', 'u2', 'u3', 'u4', 'u5', 'u6', 'd9', 'd6', 'd3'], ['l1', 'l2', 'b7', 'l4', 'l5', 'r4', 'f7', 'f8', 'r1'], ['r9', 'r8', 'r7', 'f6', 'f5', 'f4', 'f3', 'f2', 'f1'], ['f9', 'r2', 'r3', 'l6', 'r5', 'r6', 'l3', 'b8', 'b9'], ['b1', 'b2', 'b3', 'b4', 'b5', 'b6', 'l7', 'l8', 'l9'], ['u9', 'u8', 'u7', 'd2', 'd5', 'd8', 'd1', 'd4', 'd7']]"
1845,"[['u1', 'u2', 'l7', 'u4', 'u5', 'b4', 'r1', 'r4', 'b1'], ['l1', 'l2', 'u9', 'l4', 'l5', 'u8', 'f7', 'f8', 'u7'], ['f3', 'f6', 'u3', 'f2', 'f5', 'u6', 'f1', 'f4', 'b7'], ['r3', 'r6', 'b9', 'r2', 'r5', 'b8', 'd9', 'd6', 'd3'], ['d7', 'b2', 'b3', 'd8', 'b5', 'b6', 'f9', 'l8', 'l9'], ['l3', 'l6', 'r9', 'd2', 'd5', 'r8', 'd1', 'd4', 'r7']]","['dp', 'fp', 'rp']","[['u1', 'u2', 'l7', 'u4', 'u5', 'b4', 'r1', 'r4', 'b1'], ['l1', 'l2', 'u9', 'l4', 'l5', 'u8', 'f7', 'f8', 'u7'], ['f3', 'f6', 'u3', 'f2', 'f5', 'u6', 'f1', 'f4', 'b7'], ['r3', 'r6', 'b9', 'r2', 'r5', 'b8', 'd9', 'd6', 'd3'], ['d7', 'b2', 'b3', 'd8', 'b5', 'b6', 'f9', 'l8', 'l9'], ['l3', 'l6', 'r9', 'd2', 'd5', 'r8', 'd1', 'd4', 'r7']]"
1846,"[['f7', 'l4', 'l1', 'u4', 'u5', 'u6', 'r1', 'r4', 'b7'], ['d1', 'l2', 'u9', 'd4', 'l5', 'u8', 'd7', 'f8', 'u7'], ['f3', 'f6', 'r9', 'f2', 'f5', 'r8', 'f1', 'f4', 'r7'], ['d9', 'r2', 'u1', 'd6', 'r5', 'u2', 'd3', 'b8', 'u3'], ['b3', 'b6', 'l9', 'b2', 'b5', 'l8', 'b1', 'b4', 'l7'], ['l3', 'l6', 'f9', 'd2', 'd5', 'd8', 'b9', 'r6', 'r3']]","['dp', 'fp', 'bp']","[['f7', 'l4', 'l1', 'u4', 'u5', 'u6', 'r1', 'r4', 'b7'], ['d1', 'l2', 'u9', 'd4', 'l5', 'u8', 'd7', 'f8', 'u7'], ['f3', 'f6', 'r9', 'f2', 'f5', 'r8', 'f1', 'f4', 'r7'], ['d9', 'r2', 'u1', 'd6', 'r5', 'u2', 'd3', 'b8', 'u3'], ['b3', 'b6', 'l9', 'b2', 'b5', 'l8', 'b1', 'b4', 'l7'], ['l3', 'l6', 'f9', 'd2', 'd5', 'd8', 'b9', 'r6', 'r3']]"
1847,"[['u1', 'u2', 'u3', 'u4', 'u5', 'u6', 'r1', 'r4', 'b7'], ['l1', 'l2', 'u9', 'l4', 'l5', 'u8', 'f1', 'f4', 'r7'], ['f3', 'f6', 'r9', 'f2', 'f5', 'r8', 'd3', 'b8', 'b9'], ['d9', 'r2', 'r3', 'd6', 'r5', 'r6', 'l7', 'l8', 'l9'], ['b1', 'b2', 'b3', 'b4', 'b5', 'b6', 'f7', 'f8', 'u7'], ['f9', 'd8', 'd7', 'l6', 'd5', 'd4', 'l3', 'd2', 'd1']]","['dp', 'fp', 'dp']","[['u1', 'u2', 'u3', 'u4', 'u5', 'u6', 'r1', 'r4', 'b7'], ['l1', 'l2', 'u9', 'l4', 'l5', 'u8', 'f1', 'f4', 'r7'], ['f3', 'f6', 'r9', 'f2', 'f5', 'r8', 'd3', 'b8', 'b9'], ['d9', 'r2', 'r3', 'd6', 'r5', 'r6', 'l7', 'l8', 'l9'], ['b1', 'b2', 'b3', 'b4', 'b5', 'b6', 'f7', 'f8', 'u7'], ['f9', 'd8', 'd7', 'l6', 'd5', 'd4', 'l3', 'd2', 'd1']]"
1848,"[['u7', 'u4', 'u1', 'u8', 'u5', 'u2', 'b1', 'b4', 'l7'], ['f1', 'f2', 'u3', 'l4', 'l5', 'l6', 'f7', 'f8', 'f9'], ['r3', 'r6', 'b9', 'f4', 'f5', 'u6', 'r7', 'r8', 'u9'], ['d7', 'b2', 'b3', 'r2', 'r5', 'b8', 'r1', 'r4', 'b7'], ['l1', 'l2', 'l3', 'd8', 'b5', 'b6', 'd9', 'l8', 'l9'], ['d3', 'd6', 'f3', 'd2', 'd5', 'f6', 'd1', 'd4', 'r9']]","['dp', 'rp', 'u']","[['u7', 'u4', 'u1', 'u8', 'u5', 'u2', 'b1', 'b4', 'l7'], ['f1', 'f2', 'u3', 'l4', 'l5', 'l6', 'f7', 'f8', 'f9'], ['r3', 'r6', 'b9', 'f4', 'f5', 'u6', 'r7', 'r8', 'u9'], ['d7', 'b2', 'b3', 'r2', 'r5', 'b8', 'r1', 'r4', 'b7'], ['l1', 'l2', 'l3', 'd8', 'b5', 'b6', 'd9', 'l8', 'l9'], ['d3', 'd6', 'f3', 'd2', 'd5', 'f6', 'd1', 'd4', 'r9']]"
1849,"[['l9', 'u2', 'l7', 'b6', 'u5', 'b4', 'b3', 'u8', 'b1'], ['f7', 'l4', 'l1', 'f8', 'l5', 'l2', 'f9', 'l6', 'l3'], ['u1', 'f2', 'u3', 'u4', 'f5', 'u6', 'u7', 'r8', 'u9'], ['r3', 'r6', 'b9', 'r2', 'r5', 'b8', 'r1', 'r4', 'b7'], ['d7', 'b2', 'd1', 'd8', 'b5', 'd2', 'd9', 'l8', 'd3'], ['f1', 'd6', 'f3', 'f4', 'd5', 'f6', 'r7', 'd4', 'r9']]","['dp', 'rp', 'l']","[['l9', 'u2', 'l7', 'b6', 'u5', 'b4', 'b3', 'u8', 'b1'], ['f7', 'l4', 'l1', 'f8', 'l5', 'l2', 'f9', 'l6', 'l3'], ['u1', 'f2', 'u3', 'u4', 'f5', 'u6', 'u7', 'r8', 'u9'], ['r3', 'r6', 'b9', 'r2', 'r5', 'b8', 'r1', 'r4', 'b7'], ['d7', 'b2', 'd1', 'd8', 'b5', 'd2', 'd9', 'l8', 'd3'], ['f1', 'd6', 'f3', 'f4', 'd5', 'f6', 'r7', 'd4', 'r9']]"
1850,"[['u1', 'u2', 'l7', 'u4', 'u5', 'b4', 'f9', 'l6', 'l3'], ['l1', 'l2', 'd3', 'l4', 'l5', 'd6', 'f7', 'f8', 'f3'], ['r7', 'f4', 'f1', 'r8', 'f5', 'f2', 'u9', 'u6', 'u3'], ['u7', 'r6', 'b9', 'u8', 'r5', 'b8', 'b1', 'r4', 'b7'], ['d7', 'b2', 'b3', 'd8', 'b5', 'b6', 'd9', 'l8', 'l9'], ['r1', 'r2', 'r3', 'd2', 'd5', 'f6', 'd1', 'd4', 'r9']]","['dp', 'rp', 'f']","[['u1', 'u2', 'l7', 'u4', 'u5', 'b4', 'f9', 'l6', 'l3'], ['l1', 'l2', 'd3', 'l4', 'l5', 'd6', 'f7', 'f8', 'f3'], ['r7', 'f4', 'f1', 'r8', 'f5', 'f2', 'u9', 'u6', 'u3'], ['u7', 'r6', 'b9', 'u8', 'r5', 'b8', 'b1', 'r4', 'b7'], ['d7', 'b2', 'b3', 'd8', 'b5', 'b6', 'd9', 'l8', 'l9'], ['r1', 'r2', 'r3', 'd2', 'd5', 'f6', 'd1', 'd4', 'r9']]"
1851,"[['u1', 'u2', 'u3', 'u4', 'u5', 'u6', 'u7', 'u8', 'u9'], ['l1', 'l2', 'l3', 'l4', 'l5', 'l6', 'f7', 'f8', 'f9'], ['f1', 'f2', 'f3', 'f4', 'f5', 'f6', 'r7', 'r8', 'r9'], ['r1', 'r2', 'r3', 'r4', 'r5', 'r6', 'b7', 'b8', 'b9'], ['b1', 'b2', 'b3', 'b4', 'b5', 'b6', 'l7', 'l8', 'l9'], ['d3', 'd6', 'd9', 'd2', 'd5', 'd8', 'd1', 'd4', 'd7']]","['dp', 'rp', 'r']","[['u1', 'u2', 'u3', 'u4', 'u5', 'u6', 'u7', 'u8', 'u9'], ['l1', 'l2', 'l3', 'l4', 'l5', 'l6', 'f7', 'f8', 'f9'], ['f1', 'f2', 'f3', 'f4', 'f5', 'f6', 'r7', 'r8', 'r9'], ['r1', 'r2', 'r3', 'r4', 'r5', 'r6', 'b7', 'b8', 'b9'], ['b1', 'b2', 'b3', 'b4', 'b5', 'b6', 'l7', 'l8', 'l9'], ['d3', 'd6', 'd9', 'd2', 'd5', 'd8', 'd1', 'd4', 'd7']]"
1852,"[['b9', 'b8', 'b7', 'u4', 'u5', 'b4', 'u7', 'u8', 'b1'], ['l7', 'l2', 'l3', 'u2', 'l5', 'l6', 'u1', 'f8', 'f9'], ['f1', 'f2', 'u3', 'f4', 'f5', 'u6', 'r7', 'r8', 'u9'], ['r3', 'r6', 'r9', 'r2', 'r5', 'd4', 'r1', 'r4', 'd1'], ['d9', 'd8', 'd7', 'l8', 'b5', 'b2', 'l9', 'b6', 'b3'], ['d3', 'd6', 'f3', 'd2', 'd5', 'f6', 'l1', 'l4', 'f7']]","['dp', 'rp', 'b']","[['b9', 'b8', 'b7', 'u4', 'u5', 'b4', 'u7', 'u8', 'b1'], ['l7', 'l2', 'l3', 'u2', 'l5', 'l6', 'u1', 'f8', 'f9'], ['f1', 'f2', 'u3', 'f4', 'f5', 'u6', 'r7', 'r8', 'u9'], ['r3', 'r6', 'r9', 'r2', 'r5', 'd4', 'r1', 'r4', 'd1'], ['d9', 'd8', 'd7', 'l8', 'b5', 'b2', 'l9', 'b6', 'b3'], ['d3', 'd6', 'f3', 'd2', 'd5', 'f6', 'l1', 'l4', 'f7']]"
1853,"[['u1', 'u2', 'l7', 'u4', 'u5', 'b4', 'u7', 'u8', 'b1'], ['l1', 'l2', 'l3', 'l4', 'l5', 'l6', 'd9', 'l8', 'l9'], ['f1', 'f2', 'u3', 'f4', 'f5', 'u6', 'f7', 'f8', 'f9'], ['r3', 'r6', 'b9', 'r2', 'r5', 'b8', 'r7', 'r8', 'u9'], ['d7', 'b2', 'b3', 'd8', 'b5', 'b6', 'r1', 'r4', 'b7'], ['d1', 'd2', 'd3', 'd4', 'd5', 'd6', 'r9', 'f6', 'f3']]","['dp', 'rp', 'd']","[['u1', 'u2', 'l7', 'u4', 'u5', 'b4', 'u7', 'u8', 'b1'], ['l1', 'l2', 'l3', 'l4', 'l5', 'l6', 'd9', 'l8', 'l9'], ['f1', 'f2', 'u3', 'f4', 'f5', 'u6', 'f7', 'f8', 'f9'], ['r3', 'r6', 'b9', 'r2', 'r5', 'b8', 'r7', 'r8', 'u9'], ['d7', 'b2', 'b3', 'd8', 'b5', 'b6', 'r1', 'r4', 'b7'], ['d1', 'd2', 'd3', 'd4', 'd5', 'd6', 'r9', 'f6', 'f3']]"
